series,state,year,month,rate
LASST020000000000003,2,2008,05,6.7
LASST020000000000003,2,2008,06,6.7
LASST020000000000003,2,2008,07,6.7
LASST020000000000003,2,2008,08,6.7
LASST020000000000003,2,2008,09,6.8
LASST020000000000003,2,2008,10,6.8
LASST020000000000003,2,2008,11,6.9
LASST020000000000003,2,2008,12,7
LASST020000000000003,2,2009,01,7.1
LASST020000000000003,2,2009,02,7.3
LASST020000000000003,2,2009,03,7.5
LASST020000000000003,2,2009,04,7.6
LASST020000000000003,2,2009,05,7.7
LASST020000000000003,2,2009,06,7.8
LASST020000000000003,2,2009,07,7.9
LASST020000000000003,2,2009,08,8
LASST020000000000003,2,2009,09,8
LASST020000000000003,2,2009,10,8
LASST020000000000003,2,2009,11,8
LASST020000000000003,2,2009,12,8
LASST020000000000003,2,2010,01,8
LASST020000000000003,2,2010,02,8
LASST020000000000003,2,2010,03,8
LASST020000000000003,2,2010,04,8
LASST020000000000003,2,2010,05,7.9
LASST020000000000003,2,2010,06,7.8
LASST020000000000003,2,2010,07,7.8
LASST020000000000003,2,2010,08,7.7
LASST020000000000003,2,2010,09,7.7
LASST020000000000003,2,2010,10,7.8
LASST020000000000003,2,2010,11,7.8
LASST020000000000003,2,2010,12,7.8
LASST020000000000003,2,2011,01,7.8
LASST020000000000003,2,2011,02,7.7
LASST020000000000003,2,2011,03,7.7
LASST020000000000003,2,2011,04,7.6
LASST020000000000003,2,2011,05,7.6
LASST020000000000003,2,2011,06,7.5
LASST020000000000003,2,2011,07,7.5
LASST020000000000003,2,2011,08,7.5
LASST020000000000003,2,2011,09,7.5
LASST020000000000003,2,2011,10,7.5
LASST020000000000003,2,2011,11,7.5
LASST020000000000003,2,2011,12,7.4
LASST020000000000003,2,2012,01,7.4
LASST020000000000003,2,2012,02,7.3
LASST020000000000003,2,2012,03,7.3
LASST020000000000003,2,2012,04,7.2
LASST020000000000003,2,2012,05,7.2
LASST020000000000003,2,2012,06,7.1
LASST020000000000003,2,2012,07,7.1
LASST020000000000003,2,2012,08,7.1
LASST020000000000003,2,2012,09,7
LASST020000000000003,2,2012,10,7
LASST020000000000003,2,2012,11,6.9
LASST020000000000003,2,2012,12,6.9
LASST020000000000003,2,2013,01,6.9
LASST020000000000003,2,2013,02,6.8
LASST020000000000003,2,2013,03,6.8
LASST020000000000003,2,2013,04,6.8
LASST020000000000003,2,2013,05,6.9
LASST020000000000003,2,2013,06,6.9
LASST020000000000003,2,2013,07,6.9
LASST020000000000003,2,2013,08,6.9
LASST020000000000003,2,2013,09,6.9
LASST020000000000003,2,2013,10,6.9
LASST020000000000003,2,2013,11,6.9
LASST020000000000003,2,2013,12,6.9
LASST020000000000003,2,2014,01,6.9
LASST020000000000003,2,2014,02,6.9
LASST020000000000003,2,2014,03,6.9
LASST020000000000003,2,2014,04,6.9
LASST020000000000003,2,2014,05,6.9
LASST020000000000003,2,2014,06,7
LASST020000000000003,2,2014,07,6.9
LASST020000000000003,2,2014,08,6.9
LASST020000000000003,2,2014,09,6.8
LASST020000000000003,2,2014,10,6.7
LASST020000000000003,2,2014,11,6.5
LASST020000000000003,2,2014,12,6.4
LASST020000000000003,2,2015,01,6.3
LASST020000000000003,2,2015,02,6.3
LASST020000000000003,2,2015,03,6.5
LASST020000000000003,2,2015,04,6.7
LASST020000000000003,2,2015,05,6.7
LASST020000000000003,2,2015,06,6.8
LASST020000000000003,2,2015,07,6.7
LASST020000000000003,2,2015,08,6.6
LASST020000000000003,2,2015,09,6.4
LASST040000000000003,4,2006,01,4.3
LASST040000000000003,4,2006,02,4.2
LASST040000000000003,4,2006,03,4.2
LASST040000000000003,4,2006,04,4.2
LASST040000000000003,4,2006,05,4.2
LASST040000000000003,4,2006,06,4.1
LASST040000000000003,4,2006,07,4.1
LASST040000000000003,4,2006,08,4
LASST040000000000003,4,2006,09,4
LASST040000000000003,4,2006,10,3.9
LASST040000000000003,4,2006,11,3.9
LASST040000000000003,4,2006,12,3.9
LASST040000000000003,4,2007,01,3.8
LASST040000000000003,4,2007,02,3.8
LASST040000000000003,4,2007,03,3.8
LASST040000000000003,4,2007,04,3.7
LASST040000000000003,4,2007,05,3.7
LASST040000000000003,4,2007,06,3.7
LASST040000000000003,4,2007,07,3.7
LASST040000000000003,4,2007,08,3.8
LASST040000000000003,4,2007,09,3.9
LASST040000000000003,4,2007,10,4.1
LASST040000000000003,4,2007,11,4.2
LASST040000000000003,4,2007,12,4.4
LASST040000000000003,4,2008,01,4.6
LASST040000000000003,4,2008,02,4.8
LASST040000000000003,4,2008,03,5
LASST040000000000003,4,2008,04,5.3
LASST040000000000003,4,2008,05,5.6
LASST040000000000003,4,2008,06,5.9
LASST040000000000003,4,2008,07,6.3
LASST040000000000003,4,2008,08,6.6
LASST040000000000003,4,2008,09,6.9
LASST040000000000003,4,2008,10,7.3
LASST040000000000003,4,2008,11,7.7
LASST040000000000003,4,2008,12,8.2
LASST040000000000003,4,2009,01,8.6
LASST040000000000003,4,2009,02,9
LASST040000000000003,4,2009,03,9.4
LASST040000000000003,4,2009,04,9.8
LASST040000000000003,4,2009,05,10
LASST040000000000003,4,2009,06,10.3
LASST040000000000003,4,2009,07,10.6
LASST040000000000003,4,2009,08,10.8
LASST040000000000003,4,2009,09,11
LASST040000000000003,4,2009,10,11.1
LASST040000000000003,4,2009,11,11.2
LASST040000000000003,4,2009,12,11.2
LASST040000000000003,4,2010,01,11.1
LASST040000000000003,4,2010,02,11
LASST040000000000003,4,2010,03,10.8
LASST040000000000003,4,2010,04,10.7
LASST040000000000003,4,2010,05,10.5
LASST040000000000003,4,2010,06,10.4
LASST040000000000003,4,2010,07,10.2
LASST040000000000003,4,2010,08,10.2
LASST040000000000003,4,2010,09,10.1
LASST040000000000003,4,2010,10,10.1
LASST040000000000003,4,2010,11,10
LASST040000000000003,4,2010,12,9.9
LASST040000000000003,4,2011,01,9.8
LASST040000000000003,4,2011,02,9.7
LASST040000000000003,4,2011,03,9.6
LASST040000000000003,4,2011,04,9.6
LASST040000000000003,4,2011,05,9.7
LASST040000000000003,4,2011,06,9.7
LASST040000000000003,4,2011,07,9.6
LASST040000000000003,4,2011,08,9.5
LASST040000000000003,4,2011,09,9.3
LASST040000000000003,4,2011,10,9.2
LASST040000000000003,4,2011,11,9
LASST040000000000003,4,2011,12,8.9
LASST040000000000003,4,2012,01,8.8
LASST040000000000003,4,2012,02,8.7
LASST040000000000003,4,2012,03,8.6
LASST040000000000003,4,2012,04,8.6
LASST040000000000003,4,2012,05,8.5
LASST040000000000003,4,2012,06,8.4
LASST040000000000003,4,2012,07,8.2
LASST040000000000003,4,2012,08,8.1
LASST040000000000003,4,2012,09,8
LASST040000000000003,4,2012,10,7.9
LASST040000000000003,4,2012,11,7.8
LASST040000000000003,4,2012,12,7.7
LASST040000000000003,4,2013,01,7.7
LASST040000000000003,4,2013,02,7.7
LASST040000000000003,4,2013,03,7.6
LASST040000000000003,4,2013,04,7.6
LASST040000000000003,4,2013,05,7.5
LASST040000000000003,4,2013,06,7.4
LASST040000000000003,4,2013,07,7.4
LASST040000000000003,4,2013,08,7.4
LASST040000000000003,4,2013,09,7.4
LASST040000000000003,4,2013,10,7.3
LASST040000000000003,4,2013,11,7.3
LASST040000000000003,4,2013,12,7.2
LASST040000000000003,4,2014,01,7.1
LASST040000000000003,4,2014,02,7.1
LASST040000000000003,4,2014,03,7
LASST040000000000003,4,2014,04,6.9
LASST040000000000003,4,2014,05,6.9
LASST040000000000003,4,2014,06,6.8
LASST040000000000003,4,2014,07,6.7
LASST040000000000003,4,2014,08,6.7
LASST040000000000003,4,2014,09,6.6
LASST040000000000003,4,2014,10,6.6
LASST040000000000003,4,2014,11,6.6
LASST040000000000003,4,2014,12,6.6
LASST040000000000003,4,2015,01,6.6
LASST040000000000003,4,2015,02,6.5
LASST040000000000003,4,2015,03,6.2
LASST040000000000003,4,2015,04,6
LASST040000000000003,4,2015,05,5.8
LASST040000000000003,4,2015,06,5.9
LASST040000000000003,4,2015,07,6.1
LASST040000000000003,4,2015,08,6.3
LASST040000000000003,4,2015,09,6.3
LASST050000000000003,5,2006,01,5
LASST050000000000003,5,2006,02,5
LASST050000000000003,5,2006,03,5.1
LASST050000000000003,5,2006,04,5.1
LASST050000000000003,5,2006,05,5.2
LASST050000000000003,5,2006,06,5.2
LASST050000000000003,5,2006,07,5.2
LASST050000000000003,5,2006,08,5.2
LASST050000000000003,5,2006,09,5.2
LASST050000000000003,5,2006,10,5.2
LASST050000000000003,5,2006,11,5.2
LASST050000000000003,5,2006,12,5.2
LASST050000000000003,5,2007,01,5.2
LASST050000000000003,5,2007,02,5.2
LASST050000000000003,5,2007,03,5.2
LASST050000000000003,5,2007,04,5.3
LASST050000000000003,5,2007,05,5.3
LASST050000000000003,5,2007,06,5.4
LASST050000000000003,5,2007,07,5.4
LASST050000000000003,5,2007,08,5.4
LASST050000000000003,5,2007,09,5.4
LASST050000000000003,5,2007,10,5.4
LASST050000000000003,5,2007,11,5.3
LASST050000000000003,5,2007,12,5.2
LASST050000000000003,5,2008,01,5.1
LASST050000000000003,5,2008,02,5
LASST050000000000003,5,2008,03,5
LASST050000000000003,5,2008,04,5
LASST050000000000003,5,2008,05,5.1
LASST050000000000003,5,2008,06,5.2
LASST050000000000003,5,2008,07,5.3
LASST050000000000003,5,2008,08,5.5
LASST050000000000003,5,2008,09,5.8
LASST050000000000003,5,2008,10,6.1
LASST050000000000003,5,2008,11,6.4
LASST050000000000003,5,2008,12,6.8
LASST050000000000003,5,2009,01,7.1
LASST050000000000003,5,2009,02,7.4
LASST050000000000003,5,2009,03,7.7
LASST050000000000003,5,2009,04,7.9
LASST050000000000003,5,2009,05,8
LASST050000000000003,5,2009,06,8
LASST050000000000003,5,2009,07,8
LASST050000000000003,5,2009,08,8.1
LASST050000000000003,5,2009,09,8.1
LASST050000000000003,5,2009,10,8.1
LASST050000000000003,5,2009,11,8.2
LASST050000000000003,5,2009,12,8.2
LASST050000000000003,5,2010,01,8.2
LASST050000000000003,5,2010,02,8.2
LASST050000000000003,5,2010,03,8.2
LASST050000000000003,5,2010,04,8.2
LASST050000000000003,5,2010,05,8.1
LASST050000000000003,5,2010,06,8.1
LASST050000000000003,5,2010,07,8.1
LASST050000000000003,5,2010,08,8.1
LASST050000000000003,5,2010,09,8.2
LASST050000000000003,5,2010,10,8.2
LASST050000000000003,5,2010,11,8.3
LASST050000000000003,5,2010,12,8.3
LASST050000000000003,5,2011,01,8.4
LASST050000000000003,5,2011,02,8.4
LASST050000000000003,5,2011,03,8.4
LASST050000000000003,5,2011,04,8.4
LASST050000000000003,5,2011,05,8.4
LASST050000000000003,5,2011,06,8.3
LASST050000000000003,5,2011,07,8.2
LASST050000000000003,5,2011,08,8.2
LASST050000000000003,5,2011,09,8.1
LASST050000000000003,5,2011,10,8
LASST050000000000003,5,2011,11,7.9
LASST050000000000003,5,2011,12,7.7
LASST050000000000003,5,2012,01,7.6
LASST050000000000003,5,2012,02,7.6
LASST050000000000003,5,2012,03,7.5
LASST050000000000003,5,2012,04,7.5
LASST050000000000003,5,2012,05,7.5
LASST050000000000003,5,2012,06,7.5
LASST050000000000003,5,2012,07,7.5
LASST050000000000003,5,2012,08,7.5
LASST050000000000003,5,2012,09,7.5
LASST050000000000003,5,2012,10,7.4
LASST050000000000003,5,2012,11,7.4
LASST050000000000003,5,2012,12,7.4
LASST050000000000003,5,2013,01,7.4
LASST050000000000003,5,2013,02,7.3
LASST050000000000003,5,2013,03,7.3
LASST050000000000003,5,2013,04,7.3
LASST050000000000003,5,2013,05,7.3
LASST050000000000003,5,2013,06,7.3
LASST050000000000003,5,2013,07,7.3
LASST050000000000003,5,2013,08,7.2
LASST050000000000003,5,2013,09,7.1
LASST050000000000003,5,2013,10,7
LASST050000000000003,5,2013,11,6.9
LASST050000000000003,5,2013,12,6.7
LASST050000000000003,5,2014,01,6.6
LASST050000000000003,5,2014,02,6.5
LASST050000000000003,5,2014,03,6.4
LASST050000000000003,5,2014,04,6.3
LASST050000000000003,5,2014,05,6.2
LASST050000000000003,5,2014,06,6.1
LASST050000000000003,5,2014,07,6
LASST050000000000003,5,2014,08,5.9
LASST050000000000003,5,2014,09,5.8
LASST050000000000003,5,2014,10,5.8
LASST050000000000003,5,2014,11,5.7
LASST050000000000003,5,2014,12,5.7
LASST050000000000003,5,2015,01,5.6
LASST050000000000003,5,2015,02,5.6
LASST050000000000003,5,2015,03,5.6
LASST050000000000003,5,2015,04,5.7
LASST050000000000003,5,2015,05,5.8
LASST050000000000003,5,2015,06,5.7
LASST050000000000003,5,2015,07,5.6
LASST050000000000003,5,2015,08,5.4
LASST050000000000003,5,2015,09,5.2
LASST060000000000003,6,2006,01,5
LASST060000000000003,6,2006,02,5
LASST060000000000003,6,2006,03,4.9
LASST060000000000003,6,2006,04,4.9
LASST060000000000003,6,2006,05,4.9
LASST060000000000003,6,2006,06,4.9
LASST060000000000003,6,2006,07,4.9
LASST060000000000003,6,2006,08,4.9
LASST060000000000003,6,2006,09,4.9
LASST060000000000003,6,2006,10,4.9
LASST060000000000003,6,2006,11,4.9
LASST060000000000003,6,2006,12,4.9
LASST060000000000003,6,2007,01,5
LASST060000000000003,6,2007,02,5
LASST060000000000003,6,2007,03,5.1
LASST060000000000003,6,2007,04,5.1
LASST060000000000003,6,2007,05,5.2
LASST060000000000003,6,2007,06,5.3
LASST060000000000003,6,2007,07,5.4
LASST060000000000003,6,2007,08,5.5
LASST060000000000003,6,2007,09,5.6
LASST060000000000003,6,2007,10,5.8
LASST060000000000003,6,2007,11,5.9
LASST060000000000003,6,2007,12,6
LASST060000000000003,6,2008,01,6.1
LASST060000000000003,6,2008,02,6.2
LASST060000000000003,6,2008,03,6.4
LASST060000000000003,6,2008,04,6.6
LASST060000000000003,6,2008,05,6.9
LASST060000000000003,6,2008,06,7.2
LASST060000000000003,6,2008,07,7.5
LASST060000000000003,6,2008,08,7.8
LASST060000000000003,6,2008,09,8.1
LASST060000000000003,6,2008,10,8.5
LASST060000000000003,6,2008,11,8.9
LASST060000000000003,6,2008,12,9.3
LASST060000000000003,6,2009,01,9.8
LASST060000000000003,6,2009,02,10.3
LASST060000000000003,6,2009,03,10.6
LASST060000000000003,6,2009,04,10.9
LASST060000000000003,6,2009,05,11.2
LASST060000000000003,6,2009,06,11.3
LASST060000000000003,6,2009,07,11.5
LASST060000000000003,6,2009,08,11.6
LASST060000000000003,6,2009,09,11.8
LASST060000000000003,6,2009,10,11.9
LASST060000000000003,6,2009,11,12
LASST060000000000003,6,2009,12,12.1
LASST060000000000003,6,2010,01,12.1
LASST060000000000003,6,2010,02,12.2
LASST060000000000003,6,2010,03,12.2
LASST060000000000003,6,2010,04,12.2
LASST060000000000003,6,2010,05,12.1
LASST060000000000003,6,2010,06,12.1
LASST060000000000003,6,2010,07,12.1
LASST060000000000003,6,2010,08,12.1
LASST060000000000003,6,2010,09,12.2
LASST060000000000003,6,2010,10,12.2
LASST060000000000003,6,2010,11,12.1
LASST060000000000003,6,2010,12,12.1
LASST060000000000003,6,2011,01,12
LASST060000000000003,6,2011,02,11.9
LASST060000000000003,6,2011,03,11.8
LASST060000000000003,6,2011,04,11.7
LASST060000000000003,6,2011,05,11.7
LASST060000000000003,6,2011,06,11.7
LASST060000000000003,6,2011,07,11.6
LASST060000000000003,6,2011,08,11.6
LASST060000000000003,6,2011,09,11.5
LASST060000000000003,6,2011,10,11.3
LASST060000000000003,6,2011,11,11.2
LASST060000000000003,6,2011,12,11
LASST060000000000003,6,2012,01,10.9
LASST060000000000003,6,2012,02,10.8
LASST060000000000003,6,2012,03,10.7
LASST060000000000003,6,2012,04,10.6
LASST060000000000003,6,2012,05,10.5
LASST060000000000003,6,2012,06,10.4
LASST060000000000003,6,2012,07,10.2
LASST060000000000003,6,2012,08,10
LASST060000000000003,6,2012,09,9.9
LASST060000000000003,6,2012,10,9.7
LASST060000000000003,6,2012,11,9.6
LASST060000000000003,6,2012,12,9.5
LASST060000000000003,6,2013,01,9.4
LASST060000000000003,6,2013,02,9.3
LASST060000000000003,6,2013,03,9.1
LASST060000000000003,6,2013,04,9
LASST060000000000003,6,2013,05,8.9
LASST060000000000003,6,2013,06,8.8
LASST060000000000003,6,2013,07,8.8
LASST060000000000003,6,2013,08,8.7
LASST060000000000003,6,2013,09,8.5
LASST060000000000003,6,2013,10,8.4
LASST060000000000003,6,2013,11,8.3
LASST060000000000003,6,2013,12,8.2
LASST060000000000003,6,2014,01,8.1
LASST060000000000003,6,2014,02,8
LASST060000000000003,6,2014,03,7.9
LASST060000000000003,6,2014,04,7.8
LASST060000000000003,6,2014,05,7.6
LASST060000000000003,6,2014,06,7.5
LASST060000000000003,6,2014,07,7.4
LASST060000000000003,6,2014,08,7.4
LASST060000000000003,6,2014,09,7.3
LASST060000000000003,6,2014,10,7.2
LASST060000000000003,6,2014,11,7.2
LASST060000000000003,6,2014,12,7.1
LASST060000000000003,6,2015,01,7
LASST060000000000003,6,2015,02,6.7
LASST060000000000003,6,2015,03,6.5
LASST060000000000003,6,2015,04,6.3
LASST060000000000003,6,2015,05,6.4
LASST060000000000003,6,2015,06,6.3
LASST060000000000003,6,2015,07,6.2
LASST060000000000003,6,2015,08,6.1
LASST060000000000003,6,2015,09,5.9
LASST080000000000003,8,2006,01,4.5
LASST080000000000003,8,2006,02,4.4
LASST080000000000003,8,2006,03,4.4
LASST080000000000003,8,2006,04,4.3
LASST080000000000003,8,2006,05,4.3
LASST080000000000003,8,2006,06,4.3
LASST080000000000003,8,2006,07,4.3
LASST080000000000003,8,2006,08,4.2
LASST080000000000003,8,2006,09,4.1
LASST080000000000003,8,2006,10,4
LASST080000000000003,8,2006,11,3.9
LASST080000000000003,8,2006,12,3.8
LASST080000000000003,8,2007,01,3.7
LASST080000000000003,8,2007,02,3.6
LASST080000000000003,8,2007,03,3.6
LASST080000000000003,8,2007,04,3.5
LASST080000000000003,8,2007,05,3.6
LASST080000000000003,8,2007,06,3.6
LASST080000000000003,8,2007,07,3.7
LASST080000000000003,8,2007,08,3.8
LASST080000000000003,8,2007,09,3.9
LASST080000000000003,8,2007,10,4
LASST080000000000003,8,2007,11,4.1
LASST080000000000003,8,2007,12,4.1
LASST080000000000003,8,2008,01,4.2
LASST080000000000003,8,2008,02,4.3
LASST080000000000003,8,2008,03,4.3
LASST080000000000003,8,2008,04,4.4
LASST080000000000003,8,2008,05,4.5
LASST080000000000003,8,2008,06,4.7
LASST080000000000003,8,2008,07,4.8
LASST080000000000003,8,2008,08,5
LASST080000000000003,8,2008,09,5.2
LASST080000000000003,8,2008,10,5.4
LASST080000000000003,8,2008,11,5.7
LASST080000000000003,8,2008,12,6
LASST080000000000003,8,2009,01,6.3
LASST080000000000003,8,2009,02,6.6
LASST080000000000003,8,2009,03,7
LASST080000000000003,8,2009,04,7.3
LASST080000000000003,8,2009,05,7.5
LASST080000000000003,8,2009,06,7.7
LASST080000000000003,8,2009,07,7.8
LASST080000000000003,8,2009,08,7.9
LASST080000000000003,8,2009,09,8
LASST080000000000003,8,2009,10,8.1
LASST080000000000003,8,2009,11,8.2
LASST080000000000003,8,2009,12,8.3
LASST080000000000003,8,2010,01,8.5
LASST080000000000003,8,2010,02,8.6
LASST080000000000003,8,2010,03,8.7
LASST080000000000003,8,2010,04,8.7
LASST080000000000003,8,2010,05,8.8
LASST080000000000003,8,2010,06,8.8
LASST080000000000003,8,2010,07,8.8
LASST080000000000003,8,2010,08,8.8
LASST080000000000003,8,2010,09,8.9
LASST080000000000003,8,2010,10,8.9
LASST080000000000003,8,2010,11,8.8
LASST080000000000003,8,2010,12,8.7
LASST080000000000003,8,2011,01,8.6
LASST080000000000003,8,2011,02,8.5
LASST080000000000003,8,2011,03,8.4
LASST080000000000003,8,2011,04,8.3
LASST080000000000003,8,2011,05,8.2
LASST080000000000003,8,2011,06,8.2
LASST080000000000003,8,2011,07,8.1
LASST080000000000003,8,2011,08,8.1
LASST080000000000003,8,2011,09,8.1
LASST080000000000003,8,2011,10,8.1
LASST080000000000003,8,2011,11,8.1
LASST080000000000003,8,2011,12,8.1
LASST080000000000003,8,2012,01,8
LASST080000000000003,8,2012,02,8
LASST080000000000003,8,2012,03,7.9
LASST080000000000003,8,2012,04,7.9
LASST080000000000003,8,2012,05,7.8
LASST080000000000003,8,2012,06,7.8
LASST080000000000003,8,2012,07,7.7
LASST080000000000003,8,2012,08,7.6
LASST080000000000003,8,2012,09,7.5
LASST080000000000003,8,2012,10,7.4
LASST080000000000003,8,2012,11,7.3
LASST080000000000003,8,2012,12,7.2
LASST080000000000003,8,2013,01,7.1
LASST080000000000003,8,2013,02,7
LASST080000000000003,8,2013,03,6.9
LASST080000000000003,8,2013,04,6.8
LASST080000000000003,8,2013,05,6.7
LASST080000000000003,8,2013,06,6.6
LASST080000000000003,8,2013,07,6.5
LASST080000000000003,8,2013,08,6.4
LASST080000000000003,8,2013,09,6.3
LASST080000000000003,8,2013,10,6.1
LASST080000000000003,8,2013,11,6
LASST080000000000003,8,2013,12,5.9
LASST080000000000003,8,2014,01,5.8
LASST080000000000003,8,2014,02,5.6
LASST080000000000003,8,2014,03,5.5
LASST080000000000003,8,2014,04,5.4
LASST080000000000003,8,2014,05,5.2
LASST080000000000003,8,2014,06,5
LASST080000000000003,8,2014,07,4.8
LASST080000000000003,8,2014,08,4.6
LASST080000000000003,8,2014,09,4.5
LASST080000000000003,8,2014,10,4.4
LASST080000000000003,8,2014,11,4.3
LASST080000000000003,8,2014,12,4.2
LASST080000000000003,8,2015,01,4.2
LASST080000000000003,8,2015,02,4.2
LASST080000000000003,8,2015,03,4.2
LASST080000000000003,8,2015,04,4.2
LASST080000000000003,8,2015,05,4.3
LASST080000000000003,8,2015,06,4.4
LASST080000000000003,8,2015,07,4.3
LASST080000000000003,8,2015,08,4.2
LASST080000000000003,8,2015,09,4
LASST090000000000003,9,2006,01,4.5
LASST090000000000003,9,2006,02,4.4
LASST090000000000003,9,2006,03,4.3
LASST090000000000003,9,2006,04,4.3
